track_id,title,artist,audio_file_path,genre,mood,bpm,energy
TRK83930663,Secret of Chai,FM STAR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9f/44/95/9f449571-ebec-3da6-5457-3eed98c89130/mzaf_3212063614458704090.plus.aac.p.m4a,Lo-Fi,,,
TRK83930667,Late Night Study,FM STAR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/76/26/2b/76262bb3-ed82-ce50-5cd0-99e120dc2de1/mzaf_4848394505963374386.plus.aac.p.m4a,Lo-Fi,,,
TRK83930670,Moonlight from Between the Clouds,FM STAR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1d/50/dd/1d50dddf-5633-3230-50b2-b14933970523/mzaf_13191235168927792858.plus.aac.p.m4a,Lo-Fi,,,
TRK83930672,Beat of a Retro Cafe,FM STAR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1a/ef/af/1aefafbb-f9df-9ccb-8799-f3a8f7670dbc/mzaf_17744556153427958005.plus.aac.p.m4a,Lo-Fi,,,
TRK83930676,Echoing Cup Sound,FM STAR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/19/0d/af/190daff7-a008-1fd7-900d-2e17bac2b2b0/mzaf_9584222941345159923.plus.aac.p.m4a,Lo-Fi,,,
TRK83930684,Thoughts in Monochrome,FM STAR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/32/3a/7b/323a7bec-0d7a-714c-f0e3-aa0c1372d77c/mzaf_12662666391912456156.plus.aac.p.m4a,Lo-Fi,,,
TRK58200075,Heaven or Las Vegas,Cocteau Twins,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f8/31/97/f831977c-6fd2-d40f-c2c9-fba79106fdf7/mzaf_741650827291009071.plus.aac.p.m4a,Dream Pop,,,
TRK92885262,When the Sun Hits,Slowdive,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/92/cf/40/92cf407a-48ff-1805-664a-c0c5f9831019/mzaf_14821897733934850203.plus.aac.p.m4a,Dream Pop,,,
TRK58198956,Cherry-Coloured Funk,Cocteau Twins,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/46/03/91/460391bc-4154-31ed-7a6d-3e8e5c36dd64/mzaf_4069160857181811263.plus.aac.p.m4a,Dream Pop,,,
TRK47691986,Gila,Beach House,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1a/93/30/1a9330e9-5d16-5151-f94a-bdafbc8618a1/mzaf_12885792123488358312.plus.aac.p.m4a,Dream Pop,,,
TRK97913404,Sparks,Beach House,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/20/0d/56/200d56cf-37e6-a87f-3e9e-e3241f682628/mzaf_4386445892914288127.plus.aac.p.m4a,Dream Pop,,,
TRK77867823,Starting Over,LSD and the Search for God,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2d/2c/a4/2d2ca4af-9611-2bcf-e3ff-9a73e76754ca/mzaf_15939126274526988697.plus.aac.p.m4a,Dream Pop,,,
TRK97913401,Levitation,Beach House,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/07/b1/da/07b1dabc-d631-0aa4-fd6b-e995e81a2973/mzaf_7669190777433430413.plus.aac.p.m4a,Dream Pop,,,
TRK08232662,Time: The Donut of the Heart,J Dilla,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/65/47/fc/6547fc71-7014-9873-7fe1-062db7068d7f/mzaf_17843367156904302306.plus.aac.p.m4a,Hip-Hop,,,
TRK13239702,D.R.A.M. Sings Special,Chance the Rapper,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5c/cb/00/5ccb00c5-a221-850f-9f5c-74ba341825ed/mzaf_8880605611881891205.plus.aac.p.m4a,Hip-Hop,,,
TRK59844939,On Melancholy Hill,Gorillaz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/b2/a3/a8/b2a3a80d-667a-5af5-79fd-4c39c6e9efd9/mzaf_9657617239045562237.plus.aac.p.m4a,Hip-Hop,,,
TRK13240258,How Great (feat. Jay Electronica & My cousin Nicole),Chance the Rapper,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/55/7d/36/557d3633-16d2-3631-b8b3-2a8523d758b5/mzaf_5185796953652528668.plus.aac.p.m4a,Hip-Hop,,,
TRK78831544,Intergalactic,Beastie Boys,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/56/f6/6e/56f66edd-c323-3e20-abf1-a7b2c2cf2d0c/mzaf_16981923539670451478.plus.aac.p.m4a,Hip-Hop,,,
TRK43724795,Fancy (feat. Charli XCX),Iggy Azalea,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/16/8c/45/168c45b7-99d5-ebd6-d0b1-93c7d1ebae23/mzaf_17396175815496736967.plus.aac.p.m4a,Hip-Hop,,,
TRK21224385,Intergalactic,Beastie Boys,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/e7/d4/c9/e7d4c9c9-ba22-b8aa-578e-43cf3792e359/mzaf_9641800740088817897.plus.aac.p.m4a,Hip-Hop,,,
TRK13239704,Blessings (feat. Jamila Woods),Chance the Rapper,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/38/7f/b1/387fb18e-64d8-66c9-cb98-a946f56ff512/mzaf_11874088740436846513.plus.aac.p.m4a,Hip-Hop,,,
TRK73255043,Forever Young,Alphaville,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/da/f4/b2/daf4b26a-83da-1e34-bbba-546e253798c7/mzaf_14148949332076372597.plus.aac.p.m4a,Electronic,,,
TRK42447970,Nightcall,Kavinsky,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/0a/de/fd/0adefd5b-145a-1cc9-f3b5-be89fd0232b9/mzaf_4322553693875273982.plus.aac.p.m4a,Electronic,,,
TRK76303886,After Dark,Mr.Kitty,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/26/23/3c/26233cdf-ae9e-a40e-3e5c-8645bac1dd00/mzaf_4554903182036177858.plus.aac.p.m4a,Electronic,,,
TRK28259377,Midnight City,M83,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/71/5c/80/715c80fc-ebe4-e713-487c-5bdefee6c6f3/mzaf_3698387428135478316.plus.aac.p.m4a,Electronic,,,
TRK67952309,Somebody That I Used to Know (feat. Kimbra),Gotye,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a5/ff/2f/a5ff2fdd-11b3-698f-67e6-f49cad28df6e/mzaf_15135349959596902883.plus.aac.p.m4a,Electronic,,,
TRK89242836,"Disappointed (2006 Remastered 7"" Single Mix)",Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/7f/c5/b2/7fc5b231-d333-4bd0-95d2-056baadc9a07/mzaf_5554755350935599112.plus.aac.p.m4a,Electronic,,,
TRK96888835,Go West (2003 Remaster),Pet Shop Boys,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/bf/89/73/bf8973b6-7fb6-2d97-e71d-21e455740336/mzaf_10655504641914038852.plus.aac.p.m4a,Electronic,,,
TRK14960256,(Keep Feeling) Fascination (Extended Version),The Human League,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/31/8d/be/318dbe8a-4983-d8dd-d0c6-9b51176228be/mzaf_7095877261671497614.plus.aac.p.m4a,Electronic,,,
TRK76874362,AAA,Mike WiLL Made-It & Sid Sriram,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/01/fe/5e/01fe5e19-255c-5181-5b33-3b866157eb50/mzaf_14517653008391446280.plus.aac.p.m4a,R&B / Soul,,,
TRK83852152,XO (My Gift Interlude),Keri Hilson,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/44/15/e7/4415e759-2a8c-31cf-7c54-47411efb5e7e/mzaf_14543713410656768704.plus.aac.p.m4a,R&B / Soul,,,
TRK75112466,Maybe Again,Alex Isley,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/ac/8b/3b/ac8b3ba9-13fe-3c01-7f29-20caf270e450/mzaf_15858854158901773311.plus.aac.p.m4a,R&B / Soul,,,
TRK75112459,PCH,Alex Isley & Syd,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/bf/7a/d2/bf7ad2a8-8de3-e03d-ef00-067d3aacbe28/mzaf_14686011751775575339.plus.aac.p.m4a,R&B / Soul,,,
TRK22304322,Smooth (feat. Rob Thomas),Santana,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b6/a6/88/b6a6889c-6c45-3013-37d4-b1b7a795d28c/mzaf_11386172427001956263.plus.aac.p.m4a,R&B / Soul,,,
TRK71040688,Uncomfortable Pivot,Terrace Martin,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/41/1f/75/411f757f-b763-cbce-4777-faee3dfe2ace/mzaf_15832179851719084504.plus.aac.p.m4a,R&B / Soul,,,
TRK40842310,Smooth,D'Angelo,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ce/4d/49/ce4d49cd-2d47-a9a5-dfa2-997649726498/mzaf_11766874816220918363.plus.aac.p.m4a,R&B / Soul,,,
TRK81383565,Smooth,Orion Sun,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3b/25/b2/3b25b2c0-4b65-044b-6ae6-4350d714a4b7/mzaf_15765427683280803348.plus.aac.p.m4a,R&B / Soul,,,
TRK85452494,Peaceful Jazz Instrumentals,FOREST JAZZ CAFE,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/ea/f9/79/eaf979f3-41cb-f71e-1c63-6f1153eb9411/mzaf_5878115646159451112.plus.aac.p.m4a,Jazz,,,
TRK96426893,Jazz Instrumental,Relaxing Instrumental Jazz Academy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a8/ad/fd/a8adfd03-97d2-0ace-25df-71d6114ac60e/mzaf_6614164691514914060.plus.aac.p.m4a,Jazz,,,
TRK27334401,Jazz Instrumental,"Jazz 2 Relax, CafeRelax & Jazz Music DEA Channel",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/10/ff/71/10ff71fd-f472-d404-0744-7e834b2e0d9f/mzaf_4842775206616942730.plus.aac.p.m4a,Jazz,,,
TRK25088650,Jazz Instrumental,Jazz Music Collection,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/32/87/1e/32871e05-1345-164b-e0fe-3662ab87639f/mzaf_16000069706981277530.plus.aac.p.m4a,Jazz,,,
TRK6363666,Jazz Instrumental,STAN,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b5/29/1e/b5291ed5-48a6-f739-286b-fcf74c19878b/mzaf_7820899060069429739.plus.aac.p.m4a,Jazz,,,
TRK38588808,Jazz Instrumental,Smooth Jazz Journey Ensemble,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/7d/2b/bc/7d2bbc09-b7a6-ee0c-b8a4-13223e3cd7a6/mzaf_6171745790389432089.plus.aac.p.m4a,Jazz,,,
TRK75822576,Jazz Instrumental,Instrumental Jazz Music Group,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/36/83/86/3683866f-7481-2cb6-0e61-e5bff0e32517/mzaf_2826969883526959637.plus.aac.p.m4a,Jazz,,,
TRK04339465,Jazz Instrumental,Jazz Sax Lounge Collection,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/be/04/db/be04db55-8861-4d00-7a45-c04ca55f137a/mzaf_8437912415588833088.plus.aac.p.m4a,Jazz,,,
TRK27162655,Straight and Narrow,Sam Barber,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/59/64/2b/59642bf4-9138-de8d-c00b-633918b26bd7/mzaf_14145199201308957663.plus.aac.p.m4a,Country,,,
TRK37427943,One Hell of an Angel,Warren Zeiders,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/54/95/fe/5495fe97-bed7-57ec-68b9-46b67f2770a6/mzaf_1113210950289516429.plus.aac.p.m4a,Country,,,
TRK27164607,You Don’t Want That Smoke,Bailey Zimmerman,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/96/ff/9d/96ff9d0f-c3bd-bb61-ecb2-f70a51958e90/mzaf_2839789809255818949.plus.aac.p.m4a,Country,,,
TRK27162646,Religiously,Bailey Zimmerman,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/49/43/cb/4943cbac-8b5a-772d-0012-3c11e40e91f8/mzaf_15276344516722070794.plus.aac.p.m4a,Country,,,
TRK27161632,Rock and a Hard Place,Bailey Zimmerman,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/bb/3d/34/bb3d3471-fd02-3c4e-c4fb-313e6107f666/mzaf_3318249182839647123.plus.aac.p.m4a,Country,,,
TRK27162877,The Painter,Cody Johnson,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/3f/d7/92/3fd79260-18e3-378f-92ae-12b439e7f79c/mzaf_7000085970262296593.plus.aac.p.m4a,Country,,,
TRK40827492,Tennessee Whiskey,Chris Stapleton,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e3/7e/a3/e37ea341-37f0-9dcb-4d6a-e3f0a2c1ae26/mzaf_2775390428315622059.plus.aac.p.m4a,Country,,,
TRK62929680,All Your'n,Tyler Childers,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/18/cf/2b/18cf2b75-30b0-8aab-aa05-3439f5755fd0/mzaf_12603305441890632441.plus.aac.p.m4a,Country,,,
TRK15512959,Wine Pon It,Munga,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/9d/6a/26/9d6a261a-6864-7149-7fa1-1a2b6e57c87c/mzaf_10547957211558317999.plus.aac.p.m4a,Reggae,,,
TRK04967544,Hot This Year (Stutter Mix),Dirtsman,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/b3/ff/32/b3ff325b-f8e0-d1da-fe5e-1ae8fd8de24e/mzaf_16543616641179289478.plus.aac.p.m4a,Reggae,,,
TRK50902103,Punanny,Admiral Bailey,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/49/d5/ae/49d5ae96-85f6-9ed8-c3d8-668f88a30148/mzaf_2473985335216994065.plus.aac.p.m4a,Reggae,,,
TRK11698618,Raggy Road,Capleton,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cd/c6/3c/cdc63c36-3004-bf78-212d-7caf58b43aee/mzaf_8098124325024524781.plus.aac.p.m4a,Reggae,,,
TRK82172037,Dogoo Man,Kelton Wade & Jason Leggett,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/34/5e/c1/345ec18b-be6b-2283-bcb7-823d12ac892e/mzaf_5617503976383545418.plus.aac.p.m4a,Reggae,,,
TRK50903385,Typewriter,Louie Rankin,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/82/7b/8f/827b8f0f-5175-80e3-8726-a8038adbe079/mzaf_12428935776673364015.plus.aac.p.m4a,Reggae,,,
TRK04967828,Hotta Lava,Shabba Ranks,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/b4/f1/4a/b4f14a4e-5de0-33c6-18ce-e59038c602a0/mzaf_15461930623518673088.plus.aac.p.m4a,Reggae,,,
TRK14785203,Reggae Dancehall,General Degree,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/22/05/92/220592de-534b-1388-95d8-cad74db2052d/mzaf_8142012650355990330.plus.aac.p.m4a,Reggae,,,
TRK74044008,Highway to Hell,AC/DC,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/cb/f4/3f/cbf43f47-747d-bcc2-19cf-6bf2c523f5d8/mzaf_9504019990576453182.plus.aac.p.m4a,Metal,,,
TRK74050602,Back In Black,AC/DC,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/b5/14/aa/b514aa08-4772-93db-c69f-420fbe0bb24c/mzaf_17779796508174317776.plus.aac.p.m4a,Metal,,,
TRK33513537,Seven Nation Army,The White Stripes,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/61/54/97/61549744-a83b-1c4d-58cf-e56b36beb4a7/mzaf_1246579179619940831.plus.aac.p.m4a,Metal,,,
TRK40666111,Bring Me to Life,Evanescence,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3e/34/c4/3e34c400-9ad9-3859-6988-496c27728be4/mzaf_14936938522678789093.plus.aac.p.m4a,Metal,,,
TRK86705159,All Summer Long,Kid Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/fb/32/c0/fb32c07b-640f-b7c7-a2e7-2c72e145fc24/mzaf_1854940746220941159.plus.aac.p.m4a,Metal,,,
TRK74050607,You Shook Me All Night Long,AC/DC,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e7/7d/25/e77d252b-b9d2-d5b5-4f73-8e1cb75cca19/mzaf_5673079058814175168.plus.aac.p.m4a,Metal,,,
TRK72046436,Enter Sandman,Metallica,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5e/2a/9f/5e2a9f3e-8428-2503-d5f1-7dac7e28d1c4/mzaf_6337827541016910036.plus.aac.p.m4a,Metal,,,
TRK74051407,Thunderstruck,AC/DC,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f3/45/64/f3456422-afe5-5218-0144-6a2dd6754a2b/mzaf_8906497323614731144.plus.aac.p.m4a,Metal,,,
TRK19486059,Blues Guitar,Easy Listening Guitar Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/da/0c/bf/da0cbf63-c1fc-3327-3f26-4f7885bc1592/mzaf_13417843776716322465.plus.aac.p.m4a,Blues,,,
TRK89815618,Guitar (Blues Guitar),Relaxing Instrumental Jazz Academy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/04/18/9b/04189b12-aa83-028b-cb60-d5fc770c9b46/mzaf_17327656161325295119.plus.aac.p.m4a,Blues,,,
TRK86412046,Blues Guitar,TheSound,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/2a/a2/b5/2aa2b5f0-721f-b6be-197c-c4bb46a833ec/mzaf_1639808778311466573.plus.aac.p.m4a,Blues,,,
TRK01595578,Blues Guitar (Live),The Chris Harland Blues Band,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6a/81/56/6a815699-1797-c079-68be-8217473a4d18/mzaf_8725597737682536837.plus.aac.p.m4a,Blues,,,
TRK37805000,Blues Guitar (Coffee Bar Music),Café Latino Lounge,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/42/c6/59/42c65900-67ec-2c96-3aeb-70c6b6a9ffd5/mzaf_2997214729193421279.plus.aac.p.m4a,Blues,,,
TRK97448905,Blues Guitar (Live),The Chris Harland Blues Band,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/97/1a/8b/971a8b7e-f055-4fb4-e870-2705d04deb5e/mzaf_14194773849544205225.plus.aac.p.m4a,Blues,,,
TRK57368657,Blues Guitar,Brown Eyes,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/6c/d6/b9/6cd6b913-1985-bb4b-ca6d-21acfb11460c/mzaf_15241424886387396524.plus.aac.p.m4a,Blues,,,
TRK30774647,Blues Guitar,Paul Wood,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5d/1a/74/5d1a744e-f3e3-a67a-aba5-3b8e7f7526a2/mzaf_17796664018503924390.plus.aac.p.m4a,Blues,,,
TRK92485479,Juicy Fruit,Mtume,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/85/0b/60/850b604c-c7db-70f1-47c5-00d7af4ce90d/mzaf_525981404207453992.plus.aac.p.m4a,Funk,,,
TRK32672898,More Bounce to the Ounce,Zapp & Roger,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/01/90/d5/0190d582-e35c-a561-d857-a32e035eeafc/mzaf_3198855821550301460.plus.aac.p.m4a,Funk,,,
TRK32975795,Reasons,"Earth, Wind & Fire",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/27/78/ed/2778edfc-7ae7-f5d8-fb57-31c1e6594e11/mzaf_6956923123793036206.plus.aac.p.m4a,Funk,,,
TRK98024746,"Footsteps In the Dark, Pts. 1 & 2",The Isley Brothers,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a2/69/13/a2691305-40f6-4b1b-2dd5-85dd50e03612/mzaf_16047333007857161208.plus.aac.p.m4a,Funk,,,
TRK14050540,Get Down Tonight,KC and the Sunshine Band,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/d7/be/55/d7be55b2-4b4c-0e9d-7e3e-7303741ea069/mzaf_17730505556723530490.plus.aac.p.m4a,Funk,,,
TRK07853348,Funkin' for Jamaica,Tom Browne,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/66/ed/69/66ed696b-949e-2581-5039-4fe282eaa4df/mzaf_15382635254844724730.plus.aac.p.m4a,Funk,,,
